id,respondent,categorical_variable,personal_id,IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI,AR,CO,KY,OK,PA,WV,MT,WY,census_region,education,household_income,age,gender
1,3126807211,Southern,Not much,,,,,,,,,,,,,,1,,,,,,,West South Central,High school degree,"$50,000 - $99,999",18-29,Male
2,3126802202,Midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
3,3126791039,Midwest,Not much,1,,1,,1,1,1,1,,1,,1,1,,,,,,,,East North Central,Associate or bachelor degree,"$0 - $24,999",18-29,Male
4,3126780936,Mid-west,A lot,1,1,,,1,1,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$25,000 - $49,999",18-29,Male
5,3126779836,Midwest,A lot,,,1,1,,,1,,,,,,,1,,,,,,,,,,,
6,3126774351,US,Some,1,,1,1,1,1,,1,1,,1,1,,,,,,,,,,,,,
7,3126769963,midewest,A lot,1,1,1,,,,,,,1,,,,,,,,1,,,East North Central,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
8,3126764770,Midwest,Some,1,1,1,1,1,,1,1,,1,1,1,,,1,,1,1,,,East North Central,Graduate degree,"$150,000+",30-44,Male
9,3126756635,Midwest,Some,1,1,1,1,1,,1,1,1,1,1,,1,,1,,,,,,East North Central,Associate or bachelor degree,"$150,000+",30-44,Male
10,3126745769,Mid west,Some,,,1,1,,,1,1,,,,,1,,,,,,,,West North Central,Some college,"$150,000+",18-29,Male
11,3126737786,The Upper Midwest,Some,1,1,1,,1,1,,,,1,,1,,,,,,,,,West North Central,High school degree,"$100,000 - $149,999",18-29,Male
12,3126735994,East Coast,Not at all,,,1,1,,1,,,1,,1,1,,,,1,,,1,1,Middle Atlantic,Some college,"$100,000 - $149,999",18-29,Male
13,3126728553,South Central,Some,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,West South Central,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
14,3126726778,Lake region,Some,1,1,1,,,,,,,1,,,,,1,,,,,,East North Central,Some college,"$150,000+",18-29,Male
15,3126719498,Mid west,A lot,1,1,,1,,1,,,,,,,,,,,,,,,,,,,
16,3126714308,Northeast,Not at all,1,1,1,1,,,1,1,,,1,,1,,,1,,,,,Middle Atlantic,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
17,3126712195,Midwest,A lot,1,1,1,,1,1,,,,,,1,,,,,,,,,East North Central,High school degree,"$100,000 - $149,999",30-44,Male
18,3126711745,North Central States,A lot,1,1,,1,1,1,1,,,1,,1,,,,1,1,,,,Mountain,Associate or bachelor degree,"$150,000+",30-44,Male
19,3126705768,Mid-West,Not at all,1,1,1,,1,,,,,1,,1,,,1,,1,,,,East North Central,Less than high school degree,"$150,000+",18-29,Male
20,3126705410,Midwest,A lot,1,1,1,,1,1,1,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
21,3126697024,Midwest,A lot,1,,1,1,,1,1,1,,,1,,,,,1,,,,,West North Central,Associate or bachelor degree,"$0 - $24,999",18-29,Male
22,3126684259,The West,Not at all,1,1,1,1,1,1,,1,1,,1,1,,,,,,,,,Mountain,Associate or bachelor degree,"$25,000 - $49,999",30-44,Male
23,3126656981,Midwest,Some,,,1,1,,1,,1,1,,1,,,,,1,,,1,1,West North Central,Some college,"$0 - $24,999",30-44,Male
24,3126639255,The Midwest,Some,,1,,,,1,1,,,1,,1,,,,,1,,,,East North Central,Associate or bachelor degree,"$150,000+",30-44,Male
25,3126634535,Mountain West,A lot,1,1,1,1,1,1,,1,1,1,1,1,,,,,1,,,,Mountain,Graduate degree,"$50,000 - $99,999",30-44,Male
26,3126632874,midwest,A lot,1,1,,,,,,,,1,,,,,1,,,,,,East North Central,Some college,"$50,000 - $99,999",30-44,Male
27,3126575950,Southwest Missouri,Some,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,West North Central,High school degree,"$100,000 - $149,999",18-29,Male
28,3126559146,I travel throughout the USA and live at various Wal-Marts,Not much,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,Mountain,Some college,"$25,000 - $49,999",30-44,Male
29,3126557220,Mid-atlantic,Not at all,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,1,Middle Atlantic,High school degree,"$100,000 - $149,999",30-44,Male
30,3126556129,Northeastern Pennsylvania,Not at all,1,1,,1,1,1,1,,,1,,,1,,1,,,,,,Middle Atlantic,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
31,3126556105,midwest,Not at all,,,,,,,,,,,,,,1,,,,,,1,Mountain,Associate or bachelor degree,"$150,000+",30-44,Male
32,3126521934,Northeast,Not at all,1,,,,,,,,,1,,1,,1,,,,,,1,,,,,
33,3126519281,Midwest,Some,1,,1,1,1,1,,1,1,,1,1,,,,1,,,1,,West North Central,Graduate degree,"$0 - $24,999",18-29,Male
34,3126508214,Midwest,Some,,1,1,,1,1,,1,1,1,1,1,,,,,,,,,West North Central,Graduate degree,"$100,000 - $149,999",30-44,Male
35,3126472341,northeast,Not at all,,1,1,,,,,1,1,,1,,,,1,1,,1,,,Middle Atlantic,High school degree,"$150,000+",18-29,Male
36,3126469715,Northeast,Not at all,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,Middle Atlantic,Graduate degree,"$50,000 - $99,999",30-44,Male
37,3126459253,Mid-west,Some,1,1,1,1,,1,,1,1,1,1,1,,1,,,,,,1,East North Central,Some college,"$100,000 - $149,999",18-29,Male
38,3126454401,zdfhg,Some,,,,,,1,,1,1,1,,,,,,,,,,,Mountain,Some college,"$150,000+",30-44,Male
39,3126448363,mid west,A lot,1,1,,,1,1,,,,1,,1,,,,,1,,,,East North Central,Associate or bachelor degree,"$0 - $24,999",30-44,Male
40,3126439073,A shithole,A lot,1,1,,,,,,,,1,,,,,1,,,,,,East North Central,Some college,"$150,000+",18-29,Male
41,3126412099,Upper Plains,Not much,,,,1,,1,,1,1,,1,,,1,,,,,1,1,West North Central,Some college,"$25,000 - $49,999",30-44,Male
42,3126394704,Midwest,A lot,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
43,3126393308,"Beautiful and scenic, peaceful and calm. A poor area due to lack of industry but overall an excellent place to live.",Some,1,1,1,1,,1,1,1,,1,,1,1,,1,1,,,,,East North Central,Some college,"$25,000 - $49,999",30-44,Male
44,3126374946,Mid-west,A lot,1,1,1,,1,1,1,,,,,1,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",18-29,Male
45,3126357029,East/Central,Not at all,,,1,1,,,,1,1,,1,,,1,,1,,,,1,Middle Atlantic,Associate or bachelor degree,"$150,000+",30-44,Male
46,3126337827,Midwest,Not much,1,1,1,1,,,,,,,,,,,1,,,,,,East North Central,Some college,"$0 - $24,999",18-29,Male
47,3126319685,Midwest,A lot,1,,1,,1,1,,1,1,1,1,1,,,,,,,,,East North Central,Associate or bachelor degree,"$150,000+",18-29,Male
48,3126292528,Mid Atlantic,Not much,,1,1,1,,1,1,1,,,,1,,,,1,,,,1,Middle Atlantic,Graduate degree,"$25,000 - $49,999",18-29,Male
49,3126280370,midwest,Some,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,West North Central,Some college,"$25,000 - $49,999",30-44,Male
50,3126196913,Minne-snow-ta,A lot,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,West North Central,Some college,"$50,000 - $99,999",18-29,Male
51,3126149299,Northeast,Not at all,,,,1,,1,1,1,,,,,1,1,,,,,1,,Middle Atlantic,High school degree,"$150,000+",30-44,Male
52,3126130261,ohio,Some,1,,1,1,1,,1,1,,1,,,,,,1,,,,,East North Central,Associate or bachelor degree,"$150,000+",18-29,Male
53,3126130130,Midwest rural and urban,A lot,1,1,1,1,,,,,,1,,,,,1,,,,,,,,,,
54,3126128574,A mix of urban and rural,A lot,1,1,1,,,,,,,1,,,,,1,,,,,,East North Central,High school degree,"$25,000 - $49,999",18-29,Male
55,3126126502,Upper Midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
56,3126123567,South east,Some,1,1,1,1,,,1,1,,1,,,,,1,,,,,,,,,,
57,3126120269,Michigan,Some,1,1,1,,1,1,1,,,1,,1,,,1,,,,,,East North Central,Some college,"$100,000 - $149,999",18-29,Male
58,3126105757,mid west,A lot,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,,,1,Mountain,Associate or bachelor degree,"$25,000 - $49,999",18-29,Male
59,3126105635,Midwest,A lot,1,1,1,1,,1,1,1,1,,1,1,1,,,1,,,,,West North Central,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
60,3126096743,Midwest,Some,,1,1,1,,1,,1,1,,1,1,1,,,1,,,,,West North Central,Graduate degree,"$50,000 - $99,999",30-44,Male
61,3126087938,Limiting.,Not at all,1,1,,,1,,,,,1,,,,,,,,,,,Middle Atlantic,Associate or bachelor degree,"$0 - $24,999",18-29,Male
62,3126080690,Appalacha,Not at all,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,South Atlantic,Graduate degree,"$50,000 - $99,999",30-44,Male
63,3126072980,Midwest,Not at all,1,1,,,1,,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$0 - $24,999",18-29,Male
64,3126072611,A Midwest city,A lot,1,1,1,,1,1,,,,1,,1,,,,,,,,,East North Central,Some college,"$0 - $24,999",30-44,Male
65,3126068469,southwestern pennsylvania,Not much,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,1,,,Middle Atlantic,Some college,"$150,000+",18-29,Male
66,3126064064,Midwest,A lot,,,,,,1,,,,,,,,,,,,,,,West North Central,Some college,"$50,000 - $99,999",30-44,Male
67,3126060137,Upper Midwest,A lot,1,1,1,,1,1,1,,1,1,1,1,,,1,,,,,,East North Central,Graduate degree,"$150,000+",30-44,Male
68,3126056299,north america,Not at all,,,,,,,,,,1,,,,,,,,,,,South Atlantic,Less than high school degree,"$0 - $24,999",30-44,Male
69,3126053872,Midwest,Some,1,1,1,1,1,1,,1,1,,1,1,,,,1,,,,,West North Central,Graduate degree,"$150,000+",30-44,Male
70,3126051059,Northeast,Not much,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,,,1,1,Middle Atlantic,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
71,3126034454,North Eastern Kentucky,Not at all,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,,,1,1,East South Central,Some college,"$150,000+",18-29,Male
72,3126029388,West coast.,Not at all,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,Pacific,Associate or bachelor degree,"$150,000+",18-29,Male
73,3126020547,"northeast (that's because I just moved to philadelphia, but I moved here from Cleveland, OH which is definitely Midwest)",A lot,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,East North Central,Some college,"$25,000 - $49,999",18-29,Male
74,3126019752,northeast,Not at all,1,1,1,1,,,1,,,,1,,,,,1,,,1,,Middle Atlantic,Some college,"$50,000 - $99,999",30-44,Male
75,3126015205,Midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,East North Central,Associate or bachelor degree,"$0 - $24,999",18-29,Male
76,3126004293,the midwest,Not much,,,,,,,,,,,,,,,,,,1,,,East North Central,Some college,"$0 - $24,999",18-29,Male
77,3125980148,Midwest,Some,1,,1,1,1,1,1,1,1,,1,1,,,,1,,,1,1,West North Central,Some college,"$25,000 - $49,999",30-44,Male
78,3125977965,"the country, south, but not rural",Not at all,1,,1,1,,,,1,,,,,,1,,1,,,,,West South Central,High school degree,"$50,000 - $99,999",30-44,Male
79,3125970194,East coast,Not at all,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,1,1,,,,,
80,3125960435,a small town,Not at all,1,1,1,1,1,1,1,,,1,,1,,,1,,,,1,,East North Central,Graduate degree,"$0 - $24,999",18-29,Male
81,3125932081,Northeastern,Not at all,1,,,,,,,,1,1,1,1,,1,,,,,,,East North Central,Graduate degree,"$150,000+",30-44,Male
82,3125907943,Northern Plains,A lot,,,,,,1,,,,,,,,,,,,,,,West North Central,Some college,"$100,000 - $149,999",30-44,Male
83,3125900130,Ohio,Some,,1,,,,,,,,1,,,,,1,,1,,,,East North Central,Some college,"$150,000+",18-29,Male
84,3125881581,Northeast,Not much,,,,,,,,,1,,,,,,,,,,,,Middle Atlantic,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
85,3125881486,Eastern United States,Not at all,1,1,1,1,1,1,1,1,,,,1,1,,,1,,,,,South Atlantic,Graduate degree,"$50,000 - $99,999",18-29,Male
86,3125869144,Lancaster,Not at all,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,,,1,1,Middle Atlantic,Some college,"$25,000 - $49,999",18-29,Male
87,3125857851,Canada,Not at all,1,,1,,1,1,,1,,,,1,,,,,,,1,,East North Central,High school degree,"$150,000+",> 60,Male
88,3125856371,South-Central  (Oklahoma)/Midwest,A lot,,,1,1,,1,1,1,1,,1,1,1,1,,1,,,1,1,West South Central,Associate or bachelor degree,"$150,000+",> 60,Male
89,3125834929,The South,Not at all,,1,1,1,,,1,1,,1,,1,,,,1,,,,,South Atlantic,High school degree,"$100,000 - $149,999",18-29,Male
90,3125818086,North Carolina,A lot,1,1,1,,1,1,,,,1,,1,,1,1,,,,1,,South Atlantic,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
91,3125796281,MidWest,A lot,1,1,1,1,1,,1,1,,1,,,,,,,,,,,,,,,
92,3125774997,City,Some,1,,,,1,,,,,1,,,,,1,,,,,,East North Central,Some college,"$25,000 - $49,999",18-29,Male
93,3125768456,Minnesota,A lot,1,1,,,1,1,1,,1,1,1,1,,,,,,,,,,,,,
94,3125745700,northeast,Not at all,,,,1,,,,,1,,,1,,,,,1,,,,Middle Atlantic,Some college,"$150,000+",18-29,Male
95,3125742602,Upper Midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
96,3125738495,the midwest,A lot,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,West North Central,Associate or bachelor degree,"$100,000 - $149,999",> 60,Male
97,3125729625,cold,Not at all,1,1,,,1,1,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$50,000 - $99,999",30-44,Male
98,3125690751,The Midwest,A lot,,,,1,,,,,,,,,,,,,,,,,West North Central,High school degree,"$150,000+",18-29,Male
99,3125688288,West,Not much,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,Mountain,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
100,3125674529,East Coast,Not at all,1,1,1,1,,,1,1,,,,,1,,1,,,,,,Middle Atlantic,High school degree,"$150,000+",18-29,Male
101,3125673633,The South,Not at all,1,1,1,1,,1,1,1,1,,1,1,,,1,1,,,,,South Atlantic,Some college,"$25,000 - $49,999",18-29,Male
102,3125664399,"The south, or maybe just Texas since its really more western than southern",Not at all,1,1,1,1,,,,1,,1,,,,,,1,,,,,West South Central,Some college,"$150,000+",18-29,Male
103,3125662855,midwest,A lot,1,1,,,1,,,,,1,,,,,,,,,,,East North Central,Some college,"$0 - $24,999",45-60,Male
104,3125658549,Lost,Not much,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,East North Central,Some college,"$50,000 - $99,999",45-60,Male
105,3125654391,East,A lot,1,1,,,1,1,,,,1,,1,,,,,,,,,Middle Atlantic,Associate or bachelor degree,"$50,000 - $99,999",> 60,Male
106,3125641158,Northeast,Not at all,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,Middle Atlantic,Graduate degree,"$50,000 - $99,999",18-29,Male
107,3125639982,northern midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,West North Central,Some college,"$50,000 - $99,999",45-60,Male
108,3125628944,The Midwest,Not at all,1,1,,,1,,1,,,1,,1,,,,,,,,,West North Central,Associate or bachelor degree,"$50,000 - $99,999",45-60,Male
109,3125624243,Northern Michigan,Not at all,1,,,,,1,,1,1,,1,1,,1,,,,,1,,East North Central,Associate or bachelor degree,"$0 - $24,999",> 60,Male
110,3125619828,Interior west,Not at all,1,1,1,,1,1,1,1,,1,,1,,,,1,,,,,Mountain,Graduate degree,"$50,000 - $99,999",30-44,Male
111,3125619572,Living blue in a red state.,Some,1,1,,,1,,,,,1,,,,,,,,,,,East North Central,Graduate degree,"$100,000 - $149,999",45-60,Male
112,3125618262,midwest,Some,1,1,1,,1,1,,1,1,1,1,1,,,1,,,,,1,East North Central,Some college,"$100,000 - $149,999",45-60,Male
113,3125617719,great,Not much,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,Middle Atlantic,Associate or bachelor degree,"$150,000+",18-29,Male
114,3125617671,Appalachia,Some,1,1,,,,,,,,1,,,,,1,,,1,,,East North Central,Associate or bachelor degree,"$25,000 - $49,999",45-60,Male
115,3125601248,Midwest,Not much,1,1,1,1,,1,1,1,,1,,1,,,,1,,,,,East North Central,Associate or bachelor degree,"$150,000+",30-44,Male
116,3125586965,midwest,A lot,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,East North Central,Some college,"$50,000 - $99,999",45-60,Male
117,3125585114,midwest,Not at all,,,,1,,,1,1,1,,1,,,,,1,,,,,,,,,
118,3125584277,Midwest,A lot,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,West North Central,Associate or bachelor degree,"$150,000+",45-60,Male
119,3125567682,city,Some,1,1,1,1,1,1,1,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$50,000 - $99,999",45-60,Male
120,3125558390,midwest,Some,1,,1,,1,,,,,1,,1,,,,,,,,,East North Central,Graduate degree,"$150,000+",> 60,Male
121,3125552097,Mid Atlantic,Not much,1,1,1,1,1,1,,1,,1,,1,,,,1,,,,,South Atlantic,Graduate degree,"$50,000 - $99,999",45-60,Male
122,3125538851,midsouth,Some,,,1,1,,,,1,,,1,,,,,1,,,,,West South Central,Associate or bachelor degree,"$150,000+",45-60,Male
123,3125519049,Rocky Mountains,Not much,1,1,,1,,,1,1,,1,,,1,,,1,,,,,Mountain,Associate or bachelor degree,"$150,000+",> 60,Male
124,3125516975,Midwest,Some,1,1,1,,1,1,,,,1,,1,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",18-29,Male
125,3125508593,The midwest.,Some,1,1,1,,1,1,1,1,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$150,000+",45-60,Male
126,3125482745,North east mid west,A lot,1,1,,,1,1,1,,1,1,1,1,,,,,1,,,,East North Central,Graduate degree,"$150,000+",45-60,Male
127,3125478293,midwest,A lot,1,1,,,1,1,,,,1,,1,,,1,,,1,,,,,,,
128,3125476241,Midwest,Some,1,1,,,1,,1,,,1,,1,,,1,,,,,,East North Central,Some college,"$150,000+",45-60,Male
